#Original File is : C:\Optica\medicion Soar Sloan filters 29Dec 2004\BSDSSG0.OOI
#----------------------------------------------------------- 
#Channel: Slave        Spectrometer Type: S2000
#Spec Mode:  Transmission
#Wavelength	Intensity
  385.70	   0.000
  386.07	   0.360
  386.43	   0.470
  386.80	   0.435
  387.16	   0.357
  387.53	   0.313
  387.90	   0.286
  388.26	   0.373
  388.63	   0.354
  388.99	   0.558
  389.36	   0.578
  389.72	   0.661
  390.09	   0.638
  390.45	   0.854
  390.82	   1.107
  391.18	   1.411
  391.55	   1.714
  391.91	   2.355
  392.28	   2.883
  392.64	   3.523
  393.01	   4.157
  393.37	   5.095
  393.74	   6.051
  394.10	   7.008
  394.47	   8.067
  394.83	   9.483
  395.20	  11.113
  395.56	  12.688
  395.93	  14.344
  396.29	  15.876
  396.66	  17.817
  397.02	  19.586
  397.39	  21.642
  397.75	  23.410
  398.11	  25.410
  398.48	  27.344
  398.84	  29.321
  399.21	  31.217
  399.57	  33.322
  399.94	  35.238
  400.30	  37.177
  400.66	  38.997
  401.03	  41.180
  401.39	  43.364
  401.76	  45.412
  402.12	  47.183
  402.48	  48.850
  402.85	  50.444
  403.21	  52.239
  403.58	  53.831
  403.94	  55.243
  404.30	  56.376
  404.67	  57.610
  405.03	  58.859
  405.39	  60.043
  405.76	  60.743
  406.12	  61.399
  406.48	  61.894
  406.85	  62.671
  407.21	  63.244
  407.57	  63.674
  407.94	  63.858
  408.30	  64.169
  408.66	  64.699
  409.03	  65.378
  409.39	  65.772
  409.75	  65.882
  410.12	  66.027
  410.48	  66.574
  410.84	  67.262
  411.21	  67.971
  411.57	  68.120
  411.93	  68.426
  412.30	  68.841
  412.66	  69.357
  413.02	  69.894
  413.38	  70.318
  413.75	  70.862
  414.11	  71.499
  414.47	  72.039
  414.83	  72.459
  415.20	  72.416
  415.56	  72.465
  415.92	  72.372
  416.28	  72.617
  416.65	  72.786
  417.01	  73.413
  417.37	  73.747
  417.73	  74.369
  418.10	  74.621
  418.46	  74.680
  418.82	  74.517
  419.18	  74.390
  419.54	  74.708
  419.91	  74.891
  420.27	  75.023
  420.63	  75.076
  420.99	  74.803
  421.35	  74.830
  421.72	  74.940
  422.08	  75.628
  422.44	  75.920
  422.80	  76.167
  423.16	  76.070
  423.52	  76.231
  423.89	  76.344
  424.25	  76.483
  424.61	  76.647
  424.97	  77.043
  425.33	  77.155
  425.69	  77.375
  426.06	  77.513
  426.42	  77.960
  426.78	  78.287
  427.14	  78.261
  427.50	  78.715
  427.86	  78.750
  428.22	  78.908
  428.58	  78.867
  428.94	  79.479
  429.31	  80.245
  429.67	  80.603
  430.03	  80.550
  430.39	  80.546
  430.75	  80.683
  431.11	  80.869
  431.47	  81.021
  431.83	  81.095
  432.19	  81.246
  432.55	  81.250
  432.91	  81.414
  433.27	  81.249
  433.63	  81.166
  434.00	  80.987
  434.36	  80.915
  434.72	  80.842
  435.08	  80.857
  435.44	  80.895
  435.80	  81.193
  436.16	  81.241
  436.52	  81.162
  436.88	  80.855
  437.24	  80.623
  437.60	  80.696
  437.96	  80.892
  438.32	  80.821
  438.68	  80.720
  439.04	  80.597
  439.40	  81.025
  439.76	  81.418
  440.12	  81.472
  440.48	  81.535
  440.84	  81.494
  441.20	  81.841
  441.56	  81.760
  441.92	  81.999
  442.28	  82.341
  442.63	  82.811
  442.99	  82.836
  443.35	  82.789
  443.71	  83.203
  444.07	  83.703
  444.43	  84.333
  444.79	  84.358
  445.15	  84.499
  445.51	  84.647
  445.87	  85.198
  446.23	  85.484
  446.59	  85.393
  446.95	  85.269
  447.30	  85.283
  447.66	  85.554
  448.02	  85.616
  448.38	  85.740
  448.74	  85.745
  449.10	  85.754
  449.46	  85.755
  449.82	  85.629
  450.18	  85.550
  450.53	  85.856
  450.89	  86.197
  451.25	  86.455
  451.61	  86.265
  451.97	  86.145
  452.33	  86.271
  452.68	  86.483
  453.04	  86.203
  453.40	  85.997
  453.76	  86.002
  454.12	  86.086
  454.48	  86.094
  454.83	  85.834
  455.19	  85.824
  455.55	  85.567
  455.91	  85.445
  456.27	  85.431
  456.62	  85.763
  456.98	  86.136
  457.34	  86.204
  457.70	  86.112
  458.06	  86.027
  458.41	  86.020
  458.77	  86.000
  459.13	  85.782
  459.49	  86.009
  459.84	  86.015
  460.20	  86.394
  460.56	  86.453
  460.92	  86.609
  461.27	  86.611
  461.63	  86.412
  461.99	  86.760
  462.35	  86.900
  462.70	  87.235
  463.06	  86.649
  463.42	  86.664
  463.77	  86.821
  464.13	  87.319
  464.49	  87.458
  464.85	  87.309
  465.20	  87.297
  465.56	  87.190
  465.92	  87.410
  466.27	  87.282
  466.63	  87.389
  466.99	  87.147
  467.34	  87.397
  467.70	  87.330
  468.06	  87.602
  468.41	  87.576
  468.77	  87.648
  469.13	  87.546
  469.48	  87.116
  469.84	  87.106
  470.20	  87.359
  470.55	  87.862
  470.91	  87.959
  471.26	  87.972
  471.62	  88.180
  471.98	  88.228
  472.33	  88.252
  472.69	  88.243
  473.04	  88.506
  473.40	  88.661
  473.76	  88.658
  474.11	  88.538
  474.47	  88.385
  474.82	  88.530
  475.18	  88.588
  475.54	  88.718
  475.89	  88.543
  476.25	  88.819
  476.60	  89.101
  476.96	  89.366
  477.31	  89.360
  477.67	  89.357
  478.02	  89.433
  478.38	  89.521
  478.74	  89.546
  479.09	  89.810
  479.45	  90.082
  479.80	  90.234
  480.16	  90.200
  480.51	  89.993
  480.87	  90.043
  481.22	  90.093
  481.58	  90.137
  481.93	  90.253
  482.29	  90.472
  482.64	  90.586
  483.00	  90.543
  483.35	  90.475
  483.71	  90.418
  484.06	  90.496
  484.42	  90.626
  484.77	  90.798
  485.13	  90.876
  485.48	  90.824
  485.83	  90.777
  486.19	  90.793
  486.54	  90.804
  486.90	  90.925
  487.25	  91.017
  487.61	  91.023
  487.96	  91.102
  488.32	  91.133
  488.67	  91.200
  489.02	  91.261
  489.38	  91.328
  489.73	  91.429
  490.09	  91.424
  490.44	  91.310
  490.79	  91.640
  491.15	  91.687
  491.50	  91.757
  491.86	  91.483
  492.21	  91.445
  492.56	  91.451
  492.92	  91.480
  493.27	  91.418
  493.62	  91.408
  493.98	  91.437
  494.33	  91.684
  494.68	  91.751
  495.04	  91.804
  495.39	  91.699
  495.74	  91.712
  496.10	  91.590
  496.45	  91.636
